Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
ASX:NSB,"Neuroscientific Biopharmaceuticals Limited (ASX:NSB)",https://www.listcorp.com/asx/nsb/neuroscientific-biopharmaceuticals-limited,"	54875000",0.16,-0.00,-3.03,"Health Care"
ASX:MPA,"Mad Paws Holdings Limited (ASX:MPA)",https://www.listcorp.com/asx/mpa/mad-paws-holdings-limited,"	54842700",0.135,0.00,0,"Consumer Discretionary"
ASX:CMP,"Compumedics Limited (ASX:CMP)",https://www.listcorp.com/asx/cmp/compumedics,"	54782100",0.3,0.01,5.26,"Health Care"
ASX:BCA,"Black Canyon Limited (ASX:BCA)",https://www.listcorp.com/asx/bca/black-canyon-limited,"	54589700",0.445,0.04,8.54,Materials
ASX:HFR,"Highfield Resources Limited (ASX:HFR)",https://www.listcorp.com/asx/hfr/highfield-resources,"	54518900",0.12,0.01,4.35,Materials
ASX:WZR,"Wisr Limited (ASX:WZR)",https://www.listcorp.com/asx/wzr/wisr-limited,"	54402700",0.041,0.00,5.13,Financials
ASX:M79,"Mammoth Minerals Limited (ASX:M79)",https://www.listcorp.com/asx/m79/mammoth-minerals-limited,"	54398100",0.11,0.00,0,Materials
ASX:AEBD,"Betashares Ethical Australian Composite Bond ETF (ASX:AEBD)",https://www.listcorp.com/asx/aebd/betashares-ethical-australian-composite-bond-etf,"	53872100",51.8,0.00,0,Unclassified
ASX:DGGF,"BetaShares Ethical Diversified Growth ETF (ASX:DGGF)",https://www.listcorp.com/asx/dggf/betashares-ethical-diversified-growth-etf,"	53513200",29.32,0.11,0.38,Unclassified
ASX:AIQ,"Alternative Investment Trust (ASX:AIQ)",https://www.listcorp.com/asx/aiq/alternative-investment-trust,"	53350300",1.685,0.00,0,Financials
ASX:FEG,"Far East Gold Ltd (ASX:FEG)",https://www.listcorp.com/asx/feg/far-east-gold-ltd,"	53219000",0.145,0.00,0,Materials
ASX:BEAR,"BetaShares Australian Equities Bear Hedge Fund (ASX:BEAR)",https://www.listcorp.com/asx/bear/betashares-australian-equities-bear-hedge-fund,"	53176000",7.15,-0.04,-0.56,Unclassified
ASX:VFY,"Vitrafy Life Sciences Limited (ASX:VFY)",https://www.listcorp.com/asx/vfy/vitrafy-life-sciences-limited,"	53149800",1.33,0.04,3.1,"Health Care"
ASX:ILA,"Island Pharmaceuticals Limited (ASX:ILA)",https://www.listcorp.com/asx/ila/island-pharmaceuticals-limited,"	52969400",0.225,0.01,7.14,"Health Care"
ASX:LM8,"Lunnon Metals Limited (ASX:LM8)",https://www.listcorp.com/asx/lm8/lunnon-metals-limited,"	52950800",0.24,0.00,0,Materials
ASX:OZF,"SPDR S&P/ASX 200 Financials EX A-REIT Fund (ASX:OZF)",https://www.listcorp.com/asx/ozf/spdr-s-and-p-asx-200-financials-ex-a-reit-fund,"	52829700",30.98,0.00,0,Unclassified
ASX:MM1,"Midas Minerals Ltd (ASX:MM1)",https://www.listcorp.com/asx/mm1/midas-minerals-ltd,"	52813800",0.32,0.01,1.59,Materials
ASX:PEN,"Peninsula Energy Limited (ASX:PEN)",https://www.listcorp.com/asx/pen/peninsula-energy-limited,"	52798200",0.365,0.04,10.61,Energy
ASX:MX1,"Micro-X Limited (ASX:MX1)",https://www.listcorp.com/asx/mx1/micro-x-limited,"	52709000",0.079,0.00,0,"Health Care"
ASX:SHM,"Shriro Holdings Limited (ASX:SHM)",https://www.listcorp.com/asx/shm/shriro-holdings-limited,"	52580600",0.675,0.00,0,"Consumer Discretionary"
ASX:PIQ,"Proteomics International Laboratories Ltd (ASX:PIQ)",https://www.listcorp.com/asx/piq/proteomics-international-laboratories,"	52378200",0.325,0.00,1.56,"Health Care"
ASX:SPL,"Starpharma Holdings Limited (ASX:SPL)",https://www.listcorp.com/asx/spl/starpharma-holdings,"	52278100",0.125,0.00,0,"Health Care"
ASX:GTG,"Genetic Technologies Limited (ASX:GTG)",https://www.listcorp.com/asx/gtg/genetic-technologies-limited,"	52081500",0.039,0.00,0,"Health Care"
ASX:DCOR,"Daintree Core Income Active ETF (ASX:DCOR)",https://www.listcorp.com/asx/dcor/daintree-core-income-active-etf,"	52005500",51.4,0.00,0,Unclassified
